D:\dataset\IMG\center_2024_09_03_15_31_11_508.jpg,D:\dataset\IMG\left_2024_09_03_15_31_11_508.jpg,D:\dataset\IMG\right_2024_09_03_15_31_11_508.jpg,0,0,0,2.226257E-07
D:\dataset\IMG\center_2024_09_03_15_31_11_575.jpg,D:\dataset\IMG\left_2024_09_03_15_31_11_575.jpg,D:\dataset\IMG\right_2024_09_03_15_31_11_575.jpg,0,0,0,9.310539E-07
D:\dataset\IMG\center_2024_09_03_15_31_11_647.jpg,D:\dataset\IMG\left_2024_09_03_15_31_11_647.jpg,D:\dataset\IMG\right_2024_09_03_15_31_11_647.jpg,0,0,0,4.185975E-06
D:\dataset\IMG\center_2024_09_03_15_31_11_717.jpg,D:\dataset\IMG\left_2024_09_03_15_31_11_717.jpg,D:\dataset\IMG\right_2024_09_03_15_31_11_717.jpg,0,0,0,4.917305E-06
D:\dataset\IMG\center_2024_09_03_15_31_11_784.jpg,D:\dataset\IMG\left_2024_09_03_15_31_11_784.jpg,D:\dataset\IMG\right_2024_09_03_15_31_11_784.jpg,0,0,0,3.985586E-06
D:\dataset\IMG\center_2024_09_03_15_31_11_855.jpg,D:\dataset\IMG\left_2024_09_03_15_31_11_855.jpg,D:\dataset\IMG\right_2024_09_03_15_31_11_855.jpg,0,0,0,4.450636E-06
D:\dataset\IMG\center_2024_09_03_15_31_11_923.jpg,D:\dataset\IMG\left_2024_09_03_15_31_11_923.jpg,D:\dataset\IMG\right_2024_09_03_15_31_11_923.jpg,0,0,0,7.810652E-06
D:\dataset\IMG\center_2024_09_03_15_31_11_996.jpg,D:\dataset\IMG\left_2024_09_03_15_31_11_996.jpg,D:\dataset\IMG\right_2024_09_03_15_31_11_996.jpg,0,0,0,7.943281E-06
D:\dataset\IMG\center_2024_09_03_15_31_12_068.jpg,D:\dataset\IMG\left_2024_09_03_15_31_12_068.jpg,D:\dataset\IMG\right_2024_09_03_15_31_12_068.jpg,0,0,0,8.907542E-06
D:\dataset\IMG\center_2024_09_03_15_31_12_140.jpg,D:\dataset\IMG\left_2024_09_03_15_31_12_140.jpg,D:\dataset\IMG\right_2024_09_03_15_31_12_140.jpg,0,0,0,9.572652E-06
D:\dataset\IMG\center_2024_09_03_15_31_12_213.jpg,D:\dataset\IMG\left_2024_09_03_15_31_12_213.jpg,D:\dataset\IMG\right_2024_09_03_15_31_12_213.jpg,0,0,0,1.007174E-05
D:\dataset\IMG\center_2024_09_03_15_31_12_285.jpg,D:\dataset\IMG\left_2024_09_03_15_31_12_285.jpg,D:\dataset\IMG\right_2024_09_03_15_31_12_285.jpg,0,0,0,8.308399E-06
D:\dataset\IMG\center_2024_09_03_15_31_12_356.jpg,D:\dataset\IMG\left_2024_09_03_15_31_12_356.jpg,D:\dataset\IMG\right_2024_09_03_15_31_12_356.jpg,0,0,0,1.143498E-05
D:\dataset\IMG\center_2024_09_03_15_31_12_425.jpg,D:\dataset\IMG\left_2024_09_03_15_31_12_425.jpg,D:\dataset\IMG\right_2024_09_03_15_31_12_425.jpg,0,0.0782139,0,0.06192818
D:\dataset\IMG\center_2024_09_03_15_31_12_492.jpg,D:\dataset\IMG\left_2024_09_03_15_31_12_492.jpg,D:\dataset\IMG\right_2024_09_03_15_31_12_492.jpg,-0.15,0.2607378,0,0.1699936
D:\dataset\IMG\center_2024_09_03_15_31_12_565.jpg,D:\dataset\IMG\left_2024_09_03_15_31_12_565.jpg,D:\dataset\IMG\right_2024_09_03_15_31_12_565.jpg,-0.35,0.499521,0,0.5357199
D:\dataset\IMG\center_2024_09_03_15_31_12_637.jpg,D:\dataset\IMG\left_2024_09_03_15_31_12_637.jpg,D:\dataset\IMG\right_2024_09_03_15_31_12_637.jpg,-0.5000001,0.677982,0,0.9163059
D:\dataset\IMG\center_2024_09_03_15_31_12_709.jpg,D:\dataset\IMG\left_2024_09_03_15_31_12_709.jpg,D:\dataset\IMG\right_2024_09_03_15_31_12_709.jpg,0,0.9129497,0,1.761841
D:\dataset\IMG\center_2024_09_03_15_31_12_777.jpg,D:\dataset\IMG\left_2024_09_03_15_31_12_777.jpg,D:\dataset\IMG\right_2024_09_03_15_31_12_777.jpg,0,1,0,2.437091
D:\dataset\IMG\center_2024_09_03_15_31_12_845.jpg,D:\dataset\IMG\left_2024_09_03_15_31_12_845.jpg,D:\dataset\IMG\right_2024_09_03_15_31_12_845.jpg,-0.1,1,0,3.371759
D:\dataset\IMG\center_2024_09_03_15_31_12_917.jpg,D:\dataset\IMG\left_2024_09_03_15_31_12_917.jpg,D:\dataset\IMG\right_2024_09_03_15_31_12_917.jpg,-0.25,1,0,4.071945
D:\dataset\IMG\center_2024_09_03_15_31_12_990.jpg,D:\dataset\IMG\left_2024_09_03_15_31_12_990.jpg,D:\dataset\IMG\right_2024_09_03_15_31_12_990.jpg,0,1,0,4.982244
D:\dataset\IMG\center_2024_09_03_15_31_13_057.jpg,D:\dataset\IMG\left_2024_09_03_15_31_13_057.jpg,D:\dataset\IMG\right_2024_09_03_15_31_13_057.jpg,0,1,0,5.672532
D:\dataset\IMG\center_2024_09_03_15_31_13_130.jpg,D:\dataset\IMG\left_2024_09_03_15_31_13_130.jpg,D:\dataset\IMG\right_2024_09_03_15_31_13_130.jpg,0,1,0,6.592754
D:\dataset\IMG\center_2024_09_03_15_31_13_198.jpg,D:\dataset\IMG\left_2024_09_03_15_31_13_198.jpg,D:\dataset\IMG\right_2024_09_03_15_31_13_198.jpg,0,1,0,7.278438
D:\dataset\IMG\center_2024_09_03_15_31_13_266.jpg,D:\dataset\IMG\left_2024_09_03_15_31_13_266.jpg,D:\dataset\IMG\right_2024_09_03_15_31_13_266.jpg,0,1,0,8.186485
D:\dataset\IMG\center_2024_09_03_15_31_13_335.jpg,D:\dataset\IMG\left_2024_09_03_15_31_13_335.jpg,D:\dataset\IMG\right_2024_09_03_15_31_13_335.jpg,0,1,0,8.862882
D:\dataset\IMG\center_2024_09_03_15_31_13_405.jpg,D:\dataset\IMG\left_2024_09_03_15_31_13_405.jpg,D:\dataset\IMG\right_2024_09_03_15_31_13_405.jpg,-0.15,1,0,9.752903
D:\dataset\IMG\center_2024_09_03_15_31_13_474.jpg,D:\dataset\IMG\left_2024_09_03_15_31_13_474.jpg,D:\dataset\IMG\right_2024_09_03_15_31_13_474.jpg,-0.3,1,0,10.39843
D:\dataset\IMG\center_2024_09_03_15_31_13_542.jpg,D:\dataset\IMG\left_2024_09_03_15_31_13_542.jpg,D:\dataset\IMG\right_2024_09_03_15_31_13_542.jpg,0,1,0,11.27442
D:\dataset\IMG\center_2024_09_03_15_31_13_609.jpg,D:\dataset\IMG\left_2024_09_03_15_31_13_609.jpg,D:\dataset\IMG\right_2024_09_03_15_31_13_609.jpg,0,1,0,12.06109
D:\dataset\IMG\center_2024_09_03_15_31_13_679.jpg,D:\dataset\IMG\left_2024_09_03_15_31_13_679.jpg,D:\dataset\IMG\right_2024_09_03_15_31_13_679.jpg,0,1,0,12.56662
D:\dataset\IMG\center_2024_09_03_15_31_13_748.jpg,D:\dataset\IMG\left_2024_09_03_15_31_13_748.jpg,D:\dataset\IMG\right_2024_09_03_15_31_13_748.jpg,0,1,0,13.42179
D:\dataset\IMG\center_2024_09_03_15_31_13_817.jpg,D:\dataset\IMG\left_2024_09_03_15_31_13_817.jpg,D:\dataset\IMG\right_2024_09_03_15_31_13_817.jpg,0,1,0,14.10953
D:\dataset\IMG\center_2024_09_03_15_31_13_888.jpg,D:\dataset\IMG\left_2024_09_03_15_31_13_888.jpg,D:\dataset\IMG\right_2024_09_03_15_31_13_888.jpg,0,1,0,14.99696
D:\dataset\IMG\center_2024_09_03_15_31_13_960.jpg,D:\dataset\IMG\left_2024_09_03_15_31_13_960.jpg,D:\dataset\IMG\right_2024_09_03_15_31_13_960.jpg,0,1,0,15.83357
D:\dataset\IMG\center_2024_09_03_15_31_14_032.jpg,D:\dataset\IMG\left_2024_09_03_15_31_14_032.jpg,D:\dataset\IMG\right_2024_09_03_15_31_14_032.jpg,-0.15,1,0,16.39113
D:\dataset\IMG\center_2024_09_03_15_31_14_106.jpg,D:\dataset\IMG\left_2024_09_03_15_31_14_106.jpg,D:\dataset\IMG\right_2024_09_03_15_31_14_106.jpg,0,1,0,17.22072
D:\dataset\IMG\center_2024_09_03_15_31_14_173.jpg,D:\dataset\IMG\left_2024_09_03_15_31_14_173.jpg,D:\dataset\IMG\right_2024_09_03_15_31_14_173.jpg,0,1,0,17.86466
D:\dataset\IMG\center_2024_09_03_15_31_14_245.jpg,D:\dataset\IMG\left_2024_09_03_15_31_14_245.jpg,D:\dataset\IMG\right_2024_09_03_15_31_14_245.jpg,0,1,0,18.68603
D:\dataset\IMG\center_2024_09_03_15_31_14_319.jpg,D:\dataset\IMG\left_2024_09_03_15_31_14_319.jpg,D:\dataset\IMG\right_2024_09_03_15_31_14_319.jpg,0,1,0,19.30261
D:\dataset\IMG\center_2024_09_03_15_31_14_387.jpg,D:\dataset\IMG\left_2024_09_03_15_31_14_387.jpg,D:\dataset\IMG\right_2024_09_03_15_31_14_387.jpg,0,1,0,20.116
D:\dataset\IMG\center_2024_09_03_15_31_14_455.jpg,D:\dataset\IMG\left_2024_09_03_15_31_14_455.jpg,D:\dataset\IMG\right_2024_09_03_15_31_14_455.jpg,-0.1,1,0,20.71981
D:\dataset\IMG\center_2024_09_03_15_31_14_524.jpg,D:\dataset\IMG\left_2024_09_03_15_31_14_524.jpg,D:\dataset\IMG\right_2024_09_03_15_31_14_524.jpg,-0.3,1,0,21.48106
D:\dataset\IMG\center_2024_09_03_15_31_14_596.jpg,D:\dataset\IMG\left_2024_09_03_15_31_14_596.jpg,D:\dataset\IMG\right_2024_09_03_15_31_14_596.jpg,0,1,0,22.06866
D:\dataset\IMG\center_2024_09_03_15_31_14_665.jpg,D:\dataset\IMG\left_2024_09_03_15_31_14_665.jpg,D:\dataset\IMG\right_2024_09_03_15_31_14_665.jpg,0,1,0,22.85859
D:\dataset\IMG\center_2024_09_03_15_31_14_736.jpg,D:\dataset\IMG\left_2024_09_03_15_31_14_736.jpg,D:\dataset\IMG\right_2024_09_03_15_31_14_736.jpg,0,1,0,23.44564
D:\dataset\IMG\center_2024_09_03_15_31_14_805.jpg,D:\dataset\IMG\left_2024_09_03_15_31_14_805.jpg,D:\dataset\IMG\right_2024_09_03_15_31_14_805.jpg,0,1,0,24.22458
D:\dataset\IMG\center_2024_09_03_15_31_14_871.jpg,D:\dataset\IMG\left_2024_09_03_15_31_14_871.jpg,D:\dataset\IMG\right_2024_09_03_15_31_14_871.jpg,0,1,0,24.8048
D:\dataset\IMG\center_2024_09_03_15_31_14_940.jpg,D:\dataset\IMG\left_2024_09_03_15_31_14_940.jpg,D:\dataset\IMG\right_2024_09_03_15_31_14_940.jpg,0,1,0,25.57257
